"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"31186","BV Cens","CENS à NANTES / 04146950","Nitrites",2012-02-29 13:25:00,0.06,"Méthode inconnue liquide"
"31187","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2012-02-29 13:25:00,0.25,"Méthode inconnue liquide"
"31188","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2012-02-29 13:25:00,2.4,"Méthode inconnue liquide"
"31189","BV Cens","CENS à NANTES / 04146950","O2_insitu",2012-02-29 13:25:00,10.73,"Méthode inconnue liquide"
"31190","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2012-02-29 13:25:00,290,"Méthode inconnue liquide"
"31191","BV Cens","CENS à NANTES / 04146950","pH_insitu",2012-02-29 13:25:00,7.39,"Méthode inconnue liquide"
"31192","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2009-12-02 12:45:00,9.6,"Méthode inconnue liquide"
"31193","BV Cens","CENS à NANTES / 04146950","Phosphates",2009-12-02 12:45:00,0.13,"Méthode inconnue liquide"
"31194","BV Cens","CENS à NANTES / 04146950","Phosphore total",2009-12-02 12:45:00,0.13,"Méthode inconnue liquide"
"31195","BV Cens","CENS à NANTES / 04146950","Nitrates",2009-12-02 12:45:00,13.2,"Méthode inconnue liquide"
"31196","BV Cens","CENS à NANTES / 04146950","Nitrites",2009-12-02 12:45:00,0.08,"Méthode inconnue liquide"
"31197","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2009-12-02 12:45:00,0.11,"Méthode inconnue liquide"
"31198","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2009-12-02 12:45:00,2.3,"Méthode inconnue liquide"
"31199","BV Cens","CENS à NANTES / 04146950","O2_insitu",2009-12-02 12:45:00,9.97,"Méthode inconnue liquide"
"31200","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2009-12-02 12:45:00,283,"Méthode inconnue liquide"
"31201","BV Cens","CENS à NANTES / 04146950","pH_insitu",2009-12-02 12:45:00,8.08,"Méthode inconnue liquide"
"31202","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2010-04-07 12:40:00,8.1,"Méthode inconnue liquide"
"31203","BV Cens","CENS à NANTES / 04146950","Phosphore total",2010-04-07 12:40:00,0.11,"Méthode inconnue liquide"
"31204","BV Cens","CENS à NANTES / 04146950","Nitrites",2010-04-07 12:40:00,0.05,"Méthode inconnue liquide"
"31205","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2010-04-07 12:40:00,1.5,"Méthode inconnue liquide"
"31206","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2010-04-07 12:40:00,263,"Méthode inconnue liquide"
"31207","BV Cens","CENS à NANTES / 04146950","pH_insitu",2010-04-07 12:40:00,7.16,"Méthode inconnue liquide"
"31208","BV Cens","CENS à NANTES / 04146950","O2_insitu",2010-04-07 12:40:00,8.28,"Méthode inconnue liquide"
"31209","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2010-04-07 12:40:00,0.06,"Méthode inconnue liquide"
"31210","BV Cens","CENS à NANTES / 04146950","Nitrates",2010-04-07 12:40:00,8.7,"Méthode inconnue liquide"
"31211","BV Cens","CENS à NANTES / 04146950","Phosphates",2010-04-07 12:40:00,0.21,"Méthode inconnue liquide"
"31212","BV Cens","CENS à NANTES / 04146950","Phosphates",2007-05-10 12:40:00,0.32,"Méthode inconnue liquide"
"31213","BV Cens","CENS à NANTES / 04146950","Nitrates",2007-05-10 12:40:00,9.6,"Méthode inconnue liquide"
"31545","BV Cens","CENS à NANTES / 04146950","Chlorures",2007-05-10 12:40:00,34,"Méthode inconnue liquide"
"31546","BV Cens","CENS à NANTES / 04146950","DCO sur échantillon homogène",2007-05-10 12:40:00,26,"Méthode inconnue liquide"
"31547","BV Cens","CENS à NANTES / 04146950","O2_insitu",2007-05-10 12:40:00,11.4,"Méthode inconnue liquide"
"31548","BV Cens","CENS à NANTES / 04146950","pH_insitu",2007-05-10 12:40:00,7.18,"Méthode inconnue liquide"
"31549","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2007-05-10 12:40:00,275,"Méthode inconnue liquide"
"31550","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2007-05-10 12:40:00,1.1,"Méthode inconnue liquide"
"31551","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2007-05-10 12:40:00,0.19,"Méthode inconnue liquide"
"31552","BV Cens","CENS à NANTES / 04146950","Nitrites",2007-05-10 12:40:00,0.16,"Méthode inconnue liquide"
"31553","BV Cens","CENS à NANTES / 04146950","Phosphore total",2007-05-10 12:40:00,0.23,"Méthode inconnue liquide"
"31554","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2010-12-02 12:30:00,8.2,"Méthode inconnue liquide"
"31555","BV Cens","CENS à NANTES / 04146950","Phosphore total",2010-12-02 12:30:00,0.09,"Méthode inconnue liquide"
"31556","BV Cens","CENS à NANTES / 04146950","Nitrites",2010-12-02 12:30:00,0.06,"Méthode inconnue liquide"
"31557","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2010-12-02 12:30:00,0.5,"Méthode inconnue liquide"
"31558","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2010-12-02 12:30:00,290,"Méthode inconnue liquide"
"31559","BV Cens","CENS à NANTES / 04146950","pH_insitu",2010-12-02 12:30:00,7.19,"Méthode inconnue liquide"
"31560","BV Cens","CENS à NANTES / 04146950","O2_insitu",2010-12-02 12:30:00,11.4,"Méthode inconnue liquide"
"31561","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2010-12-02 12:30:00,0.07,"Méthode inconnue liquide"
"31562","BV Cens","CENS à NANTES / 04146950","Nitrates",2010-12-02 12:30:00,14,"Méthode inconnue liquide"
"31563","BV Cens","CENS à NANTES / 04146950","Phosphates",2010-12-02 12:30:00,0.19,"Méthode inconnue liquide"
"31564","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2015-12-16 12:15:00,9.3,"Méthode inconnue liquide"
"31565","BV Cens","CENS à NANTES / 04146950","Phosphates",2015-12-16 12:15:00,0.32,"Méthode inconnue liquide"
"31566","BV Cens","CENS à NANTES / 04146950","Phosphore total",2015-12-16 12:15:00,0.19,"Méthode inconnue liquide"
"31567","BV Cens","CENS à NANTES / 04146950","Nitrates",2015-12-16 12:15:00,9.5,"Méthode inconnue liquide"
"31568","BV Cens","CENS à NANTES / 04146950","Nitrites",2015-12-16 12:15:00,0.1,"Méthode inconnue liquide"
"31569","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2015-12-16 12:15:00,0.17,"Méthode inconnue liquide"
"31570","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2015-12-16 12:15:00,1.3,"Méthode inconnue liquide"
"31571","BV Cens","CENS à NANTES / 04146950","O2_insitu",2015-12-16 12:15:00,10.2,"Méthode inconnue liquide"
"31572","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2015-12-16 12:15:00,247,"Méthode inconnue liquide"
"31573","BV Cens","CENS à NANTES / 04146950","pH_insitu",2015-12-16 12:15:00,7.79,"Méthode inconnue liquide"
"31574","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2014-10-29 11:50:00,5.3,"Méthode inconnue liquide"
"31575","BV Cens","CENS à NANTES / 04146950","Phosphates",2014-10-29 11:50:00,0.37,"Méthode inconnue liquide"
"31576","BV Cens","CENS à NANTES / 04146950","Phosphore total",2014-10-29 11:50:00,0.16,"Méthode inconnue liquide"
"31577","BV Cens","CENS à NANTES / 04146950","Nitrates",2014-10-29 11:50:00,4.9,"Méthode inconnue liquide"
"31578","BV Cens","CENS à NANTES / 04146950","Nitrites",2014-10-29 11:50:00,0.07,"Méthode inconnue liquide"
"31579","BV Cens","CENS à NANTES / 04146950","Azote ammoniacal",2014-10-29 11:50:00,0.21,"Méthode inconnue liquide"
"31580","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2014-10-29 11:50:00,1.5,"Méthode inconnue liquide"
"31581","BV Cens","CENS à NANTES / 04146950","O2_insitu",2014-10-29 11:50:00,4.88,"Méthode inconnue liquide"
"31582","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2014-10-29 11:50:00,300,"Méthode inconnue liquide"
"31583","BV Cens","CENS à NANTES / 04146950","pH_insitu",2014-10-29 11:50:00,6.72,"Méthode inconnue liquide"
"31584","BV Cens","CENS à NANTES / 04146950","Carbone organique dissous",2013-10-29 11:40:00,9.2,"Méthode inconnue liquide"
"31585","BV Cens","CENS à NANTES / 04146950","Phosphore total",2013-10-29 11:40:00,0.2,"Méthode inconnue liquide"
"31586","BV Cens","CENS à NANTES / 04146950","Nitrites",2013-10-29 11:40:00,0.11,"Méthode inconnue liquide"
"31587","BV Cens","CENS à NANTES / 04146950","DBO5 sur échantillon homogène",2013-10-29 11:40:00,2.5,"Méthode inconnue liquide"
"31588","BV Cens","CENS à NANTES / 04146950","EC_25C_insitu",2013-10-29 11:40:00,258,"Méthode inconnue liquide"
"31589","BV Cens","CENS à NANTES / 04146950","pH_insitu",2013-10-29 11:40:00,6.84,"Méthode inconnue liquide"
"31590","BV Cens","CENS à NANTES / 04146950","O2_insitu",2013-10-29 11:40:00,8.64,"Méthode inconnue liquide"
