"","Site","Station","Parametre"
"295","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Ba"
"296","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Ca"
"297","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Co"
"298","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Cu"
"299","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Fe"
"300","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","K"
"301","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Li"
"302","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Mg"
"303","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Mn"
"304","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Na"
"305","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Ni"
"306","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Phosphore total"
"307","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Sr"
"308","BV Pin Sec","EP_nappe_Dunant / PIN-SEC_0038","Zn"
"309","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","B_f0.45um"
"310","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Ba_f0.45um"
"311","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Ca_f0.45um"
"312","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Co_f0.45um"
"313","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Cu_f0.45um"
"314","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Fe_f0.45um"
"315","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","K_f0.45um"
"316","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Li_f0.45um"
"317","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Mg_f0.45um"
"318","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Mn_f0.45um"
"319","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Na_f0.45um"
"320","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Ni_f0.45um"
"321","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","P_f0.45um"
"322","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Sr_f0.45um"
"323","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Zn_f0.45um"
"324","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Si_f0.45um"
"325","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","B"
"326","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Ba"
"327","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Ca"
"328","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Co"
"329","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Cu"
"330","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Fe"
"331","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","K"
"332","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Li"
"333","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Mg"
"334","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Mn"
"335","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Na"
"336","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Ni"
"337","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Phosphore total"
"338","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Sr"
"339","BV Pin Sec","EP_3 branches_Total / PIN-SEC_0041","Zn"
"340","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","B_f0.45um"
"341","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Ba_f0.45um"
"342","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Ca_f0.45um"
"343","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Co_f0.45um"
"344","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Cu_f0.45um"
"345","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Fe_f0.45um"
"346","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","K_f0.45um"
"347","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Li_f0.45um"
"348","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Mg_f0.45um"
"349","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Mn_f0.45um"
"350","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Na_f0.45um"
"351","BV Pin Sec","EP_3 branches_Sud / PIN-SEC_0040","Ni_f0.45um"
