"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"124","BV Pin Sec","PZCS / PIN-SEC_0009","Co",2014-10-23 12:00:00,0.026,"ICP-OES-1"
"125","BV Pin Sec","PZCS / PIN-SEC_0009","Ca",2014-10-23 12:00:00,15.604,"ICP-OES-1"
"126","BV Pin Sec","PZCS / PIN-SEC_0009","Ba",2014-10-23 12:00:00,0.08,"ICP-OES-1"
"127","BV Pin Sec","PZCS / PIN-SEC_0009","B",2014-10-23 12:00:00,0.084,"ICP-OES-1"
"128","BV Pin Sec","PZCS / PIN-SEC_0009","Si_f0.45um",2014-10-23 12:00:00,14.33,"ICP-OES-1"
"129","BV Pin Sec","PZCS / PIN-SEC_0009","Zn_f0.45um",2014-10-23 12:00:00,25.2,"ICP-OES-1"
"130","BV Pin Sec","PZCS / PIN-SEC_0009","Sr_f0.45um",2014-10-23 12:00:00,0.062,"ICP-OES-1"
"131","BV Pin Sec","PZCS / PIN-SEC_0009","P_f0.45um",2014-10-23 12:00:00,NA,"ICP-OES-1"
"132","BV Pin Sec","PZCS / PIN-SEC_0009","Ni_f0.45um",2014-10-23 12:00:00,26.9,"ICP-OES-1"
"133","BV Pin Sec","PZCS / PIN-SEC_0009","Na_f0.45um",2014-10-23 12:00:00,57.262,"ICP-OES-1"
"134","BV Pin Sec","PZCS / PIN-SEC_0009","Mn_f0.45um",2014-10-23 12:00:00,1.924,"ICP-OES-1"
"135","BV Pin Sec","PZCS / PIN-SEC_0009","Mg_f0.45um",2014-10-23 12:00:00,7.517,"ICP-OES-1"
"136","BV Pin Sec","PZCS / PIN-SEC_0009","Li_f0.45um",2014-10-23 12:00:00,0.063,"ICP-OES-1"
"137","BV Pin Sec","PZCS / PIN-SEC_0009","K_f0.45um",2014-10-23 12:00:00,8.787,"ICP-OES-1"
"138","BV Pin Sec","PZCS / PIN-SEC_0009","Fe_f0.45um",2014-10-23 12:00:00,0.026,"ICP-OES-1"
"139","BV Pin Sec","PZCS / PIN-SEC_0009","Cu_f0.45um",2014-10-23 12:00:00,4,"ICP-OES-1"
"140","BV Pin Sec","PZCS / PIN-SEC_0009","Co_f0.45um",2014-10-23 12:00:00,0.021,"ICP-OES-1"
