"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"3719","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","K_f0.45um",2015-09-28 12:00:00,10.783,"ICP-OES-1"
"3720","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Fe_f0.45um",2015-09-28 12:00:00,0.038,"ICP-OES-1"
"3721","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cu_f0.45um",2015-09-28 12:00:00,0.824,"ICP-MS 2008/2016"
"3722","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cr_f0.45um",2015-09-28 12:00:00,0.129,"ICP-MS 2008/2016"
"3723","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Co_f0.45um",2015-09-28 12:00:00,NA,"ICP-OES-1"
"3724","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cd_f0.45um",2015-09-28 12:00:00,NA,"ICP-MS 2008/2016"
"3725","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ca_f0.45um",2015-09-28 12:00:00,48.213,"ICP-OES-1"
"3726","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ba_f0.45um",2015-09-28 12:00:00,0.046,"ICP-OES-1"
"3727","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","As_f0.45um",2015-09-28 12:00:00,2.712,"ICP-1"
"3728","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Al_f0.45um",2015-09-28 12:00:00,NA,"ICP-OES-1"
"3869","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pt",2015-09-28 11:40:00,NA,"ICP-MS 2008/2016"
"3870","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Zn",2015-09-28 11:40:00,12.9,"ICP-OES-1"
"3871","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","V",2015-09-28 11:40:00,0.903,"ICP-MS 2008/2016"
"3872","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ti",2015-09-28 11:40:00,0.006,"ICP-OES-1"
"3873","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Sr",2015-09-28 11:40:00,0.164,"ICP-OES-1"
"3874","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pb",2015-09-28 11:40:00,1.517,"ICP-MS 2008/2016"
"3875","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Phosphore total",2015-09-28 11:40:00,0.116,"ICP-OES-1"
"3876","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ni",2015-09-28 11:40:00,1.56,"ICP-MS 2008/2016"
"3877","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Na",2015-09-28 11:40:00,12.909,"ICP-OES-1"
"3878","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mo",2015-09-28 11:40:00,NA,"ICP-OES-1"
"3879","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mn",2015-09-28 11:40:00,0.39,"ICP-OES-1"
"3880","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mg",2015-09-28 11:40:00,6.935,"ICP-OES-1"
"3881","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","K",2015-09-28 11:40:00,10.81,"ICP-OES-1"
"3882","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Fe",2015-09-28 11:40:00,1.023,"ICP-OES-1"
"3883","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cu",2015-09-28 11:40:00,2.441,"ICP-MS 2008/2016"
"3884","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cr",2015-09-28 11:40:00,0.502,"ICP-MS 2008/2016"
"3885","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Co",2015-09-28 11:40:00,NA,"ICP-OES-1"
"3886","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cd",2015-09-28 11:40:00,NA,"ICP-MS 2008/2016"
"3887","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ca",2015-09-28 11:40:00,47.684,"ICP-OES-1"
"3888","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ba",2015-09-28 11:40:00,0.055,"ICP-OES-1"
"3889","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","As",2015-09-28 11:40:00,5.1,"ICP-1"
"3890","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Al",2015-09-28 11:40:00,0.177,"ICP-OES-1"
"3891","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pt_f0.45um",2015-09-28 11:40:00,NA,"ICP-MS 2008/2016"
"3892","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Zn_f0.45um",2015-09-28 11:40:00,NA,"ICP-OES-1"
"3893","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","V_f0.45um",2015-09-28 11:40:00,0.157,"ICP-MS 2008/2016"
"3894","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ti_f0.45um",2015-09-28 11:40:00,NA,"ICP-OES-1"
"3895","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Sr_f0.45um",2015-09-28 11:40:00,0.165,"ICP-OES-1"
"3896","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Pb_f0.45um",2015-09-28 11:40:00,NA,"ICP-MS 2008/2016"
"3897","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","P_f0.45um",2015-09-28 11:40:00,NA,"ICP-OES-1"
"3898","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ni_f0.45um",2015-09-28 11:40:00,1.163,"ICP-MS 2008/2016"
"3899","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Na_f0.45um",2015-09-28 11:40:00,12.969,"ICP-OES-1"
"3900","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mo_f0.45um",2015-09-28 11:40:00,NA,"ICP-OES-1"
"3901","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mn_f0.45um",2015-09-28 11:40:00,0.003,"ICP-OES-1"
"3902","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Mg_f0.45um",2015-09-28 11:40:00,6.93,"ICP-OES-1"
"3903","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","K_f0.45um",2015-09-28 11:40:00,10.823,"ICP-OES-1"
"3904","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Fe_f0.45um",2015-09-28 11:40:00,0.017,"ICP-OES-1"
"3905","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cu_f0.45um",2015-09-28 11:40:00,0.966,"ICP-MS 2008/2016"
"3906","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cr_f0.45um",2015-09-28 11:40:00,0.126,"ICP-MS 2008/2016"
"3907","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Co_f0.45um",2015-09-28 11:40:00,NA,"ICP-OES-1"
"3908","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Cd_f0.45um",2015-09-28 11:40:00,NA,"ICP-MS 2008/2016"
"3909","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ca_f0.45um",2015-09-28 11:40:00,48.244,"ICP-OES-1"
"3910","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Ba_f0.45um",2015-09-28 11:40:00,0.046,"ICP-OES-1"
"3911","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","As_f0.45um",2015-09-28 11:40:00,3.293,"ICP-1"
"3912","Écoquartier Bottière-Chesnaie","Bassin Bottière Sud / EcoQUA_013","Al_f0.45um",2015-09-28 11:40:00,NA,"ICP-OES-1"
