"","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"2673","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Sr_CaCl2",2014-04-28 12:00:00,0.03,"Extraction CaCl2 + ICP-OES"
"2674","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ni_CaCl2",2014-04-28 12:00:00,19.31,"Extraction CaCl2 + ICP-MS"
"2675","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Na_CaCl2",2014-04-28 12:00:00,1.89,"Extraction CaCl2 + ICP-OES"
"2676","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mn_CaCl2",2014-04-28 12:00:00,0.21,"Extraction CaCl2 + ICP-OES"
"2677","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Mg_CaCl2",2014-04-28 12:00:00,6.84,"Extraction CaCl2 + ICP-OES"
"2678","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","K_CaCl2",2014-04-28 12:00:00,5.54,"Extraction CaCl2 + ICP-OES"
"2679","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cu_CaCl2",2014-04-28 12:00:00,213.7,"Extraction CaCl2 + ICP-MS"
"2680","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Cd_CaCl2",2014-04-28 12:00:00,1.81,"Extraction CaCl2 + ICP-MS"
"2681","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","Ba_CaCl2",2014-04-28 12:00:00,0.28,"Extraction CaCl2 + ICP-OES"
"2682","Autres sites LEE","Parcelle de Vallet / Autre_LEE_02","As_CaCl2",2014-04-28 12:00:00,2.16,"Extraction CaCl2 + ICP-MS"
