"","X","Site","Station","Parametre","DtHechanti","Valeur","Methode"
"584",36933,"Écoquartier Bottière-Chesnaie","EcoQUA_015","V_F0.45um",2018-01-31 13:40:00,0.1358,"ICP-MS 2017/20xx-1"
"585",36934,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Ti_F0.45um",2018-01-31 13:40:00,5.647,"ICP-MS 2017/20xx-1"
"586",37435,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Sr_F0.45um",2018-01-31 13:40:00,0.272,"ICP-MS 2017/20xx-1"
"587",37437,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Pb_F0.45um",2018-01-31 13:40:00,0.3061,"ICP-MS 2017/20xx-1"
"588",37439,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Ni_F0.45um",2018-01-31 13:40:00,0.6482,"ICP-MS 2017/20xx-1"
"589",37446,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Zn_f0.45um",2018-01-31 13:40:00,54.5719,"ICP-MS 2017/20xx-1"
"590",37447,"Écoquartier Bottière-Chesnaie","EcoQUA_015","V_f0.45um",2018-01-31 13:40:00,2.3824,"ICP-MS 2017/20xx-1"
"591",37448,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Ti_f0.45um",2018-01-31 13:40:00,4.1063,"ICP-MS 2017/20xx-1"
"592",37449,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Sr_f0.45um",2018-01-31 13:40:00,126.6726,"ICP-MS 2017/20xx-1"
"593",37451,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Pb_f0.45um",2018-01-31 13:40:00,0.2502,"ICP-MS 2017/20xx-1"
"594",37453,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Ni_f0.45um",2018-01-31 13:40:00,1.9638,"ICP-MS 2017/20xx-1"
"595",37460,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Zn",2018-01-31 13:40:00,56.9804,"ICP-MS 2017/20xx-1"
"596",37461,"Écoquartier Bottière-Chesnaie","EcoQUA_015","V",2018-01-31 13:40:00,2.5182,"ICP-MS 2017/20xx-1"
"597",37462,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Ti",2018-01-31 13:40:00,9.7532,"ICP-MS 2017/20xx-1"
"598",37463,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Sr",2018-01-31 13:40:00,126.9446,"ICP-MS 2017/20xx-1"
"599",37465,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Pb",2018-01-31 13:40:00,0.5563,"ICP-MS 2017/20xx-1"
"600",37467,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Ni",2018-01-31 13:40:00,2.612,"ICP-MS 2017/20xx-1"
"601",37516,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Zn_F0.45um",2018-01-31 13:45:00,19.2115,"ICP-MS 2017/20xx-1"
"602",37517,"Écoquartier Bottière-Chesnaie","EcoQUA_010","V_F0.45um",2018-01-31 13:45:00,1.6864,"ICP-MS 2017/20xx-1"
"603",37518,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ti_F0.45um",2018-01-31 13:45:00,65.1406,"ICP-MS 2017/20xx-1"
"604",37519,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Sr_F0.45um",2018-01-31 13:45:00,1.7836,"ICP-MS 2017/20xx-1"
"605",37521,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Pb_F0.45um",2018-01-31 13:45:00,3.4757,"ICP-MS 2017/20xx-1"
"606",37523,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ni_F0.45um",2018-01-31 13:45:00,1.4185,"ICP-MS 2017/20xx-1"
"607",37530,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Zn_f0.45um",2018-01-31 13:45:00,44.5335,"ICP-MS 2017/20xx-1"
"608",37531,"Écoquartier Bottière-Chesnaie","EcoQUA_010","V_f0.45um",2018-01-31 13:45:00,2.3199,"ICP-MS 2017/20xx-1"
"609",37532,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ti_f0.45um",2018-01-31 13:45:00,1.0884,"ICP-MS 2017/20xx-1"
"610",37533,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Sr_f0.45um",2018-01-31 13:45:00,116.803,"ICP-MS 2017/20xx-1"
"611",37535,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Pb_f0.45um",2018-01-31 13:45:00,0.1778,"ICP-MS 2017/20xx-1"
"612",37537,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ni_f0.45um",2018-01-31 13:45:00,2.2057,"ICP-MS 2017/20xx-1"
"613",37544,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Zn",2018-01-31 13:45:00,63.745,"ICP-MS 2017/20xx-1"
"614",37545,"Écoquartier Bottière-Chesnaie","EcoQUA_010","V",2018-01-31 13:45:00,4.0062,"ICP-MS 2017/20xx-1"
"615",37546,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ti",2018-01-31 13:45:00,66.229,"ICP-MS 2017/20xx-1"
"616",37547,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Sr",2018-01-31 13:45:00,118.5866,"ICP-MS 2017/20xx-1"
"617",37549,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Pb",2018-01-31 13:45:00,3.6535,"ICP-MS 2017/20xx-1"
"618",37551,"Écoquartier Bottière-Chesnaie","EcoQUA_010","Ni",2018-01-31 13:45:00,3.6242,"ICP-MS 2017/20xx-1"
"619",38097,"Écoquartier Bottière-Chesnaie","EcoQUA_015","As",2018-02-13 09:00:00,2.3962,"ICP-MS 2017/20xx-1"
"620",38100,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cd",2018-02-13 09:00:00,0.0398,"ICP-MS 2017/20xx-1"
"621",38101,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Co",2018-02-13 09:00:00,0.4428,"ICP-MS 2017/20xx-1"
"622",38102,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cr",2018-02-13 09:00:00,0.9918,"ICP-MS 2017/20xx-1"
"623",38103,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cu",2018-02-13 09:00:00,10.9124,"ICP-MS 2017/20xx-1"
"624",38108,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Mo",2018-02-13 09:00:00,0.9087,"ICP-MS 2017/20xx-1"
"625",38110,"Écoquartier Bottière-Chesnaie","EcoQUA_015","As_f0.45um",2018-02-13 09:00:00,2.2212,"ICP-MS 2017/20xx-1"
"626",38113,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cd_f0.45um",2018-02-13 09:00:00,0.0163,"ICP-MS 2017/20xx-1"
"627",38114,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Co_f0.45um",2018-02-13 09:00:00,0.3432,"ICP-MS 2017/20xx-1"
"628",38116,"Écoquartier Bottière-Chesnaie","EcoQUA_015","Cu_f0.45um",2018-02-13 09:00:00,9.4788,"ICP-MS 2017/20xx-1"
