Date;Time;Valeur[l/s];État de la valeur;Interpolation;valid[%];Qualité;Interpolation;invalid[%];Qualité;Interpolation;missing[%];Qualité;Interpolation;Tags;Comments
26/05/201601:00:00;01:00:00;0.610;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201602:00:00;02:00:00;0.440;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201603:00:00;03:00:00;0.430;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201604:00:00;04:00:00;0.410;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201605:00:00;05:00:00;0.378;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201606:00:00;06:00:00;0.341;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201607:00:00;07:00:00;0.332;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201608:00:00;08:00:00;0.362;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201609:00:00;09:00:00;0.314;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201610:00:00;10:00:00;0.410;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201611:00:00;11:00:00;0.398;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201612:00:00;12:00:00;0.359;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201613:00:00;13:00:00;0.733;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201614:00:00;14:00:00;0.441;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201615:00:00;15:00:00;0.715;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201616:00:00;16:00:00;0.621;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201617:00:00;17:00:00;0.921;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201618:00:00;18:00:00;0.681;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201619:00:00;19:00:00;1.152;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201620:00:00;20:00:00;13.812;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201621:00:00;21:00:00;1.503;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201622:00:00;22:00:00;2.070;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
26/05/201623:00:00;23:00:00;5.148;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201600:00:00;00:00:00;6.278;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201601:00:00;01:00:00;16.973;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201602:00:00;02:00:00;25.421;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201603:00:00;03:00:00;26.206;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201604:00:00;04:00:00;16.427;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201605:00:00;05:00:00;38.514;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201606:00:00;06:00:00;17.238;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201607:00:00;07:00:00;12.160;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201608:00:00;08:00:00;20.081;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201609:00:00;09:00:00;9.829;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
27/05/201610:00:00;10:00:00;7.987;80 (Mauvais);104;100;0 (Bon);101;0;0 (Bon);101;0;0 (Bon);101;;mauvaises positions capteur
